corpus,drama,figure_surface,figure_id,Gender,Age
gdc,q41n.0,Don Juan,don_juan,MALE,
gdc,q41n.0,Gianotto,gianotto,MALE,
gdc,q41n.0,Gräfin,graefin,FEMALE,
gdc,q41n.0,Ein Diener,diener,MALE,
gdc,q41n.0,Prozession,prozession,UNKNOWN,
gdc,q41n.0,Leporello,leporello,MALE,
gdc,q41n.0,Biondetta,biondetta,FEMALE,
gdc,q41n.0,Der Karthäuser,der_moench,MALE,
gdc,q41n.0,Martina,martina,FEMALE,
gdc,q41n.0,Erster Strolch,erster_strolch,MALE,
gdc,q41n.0,Salvatore's Stimme,wirth,MALE,
gdc,q41n.0,Ghita,ghita,FEMALE,
gdc,q41n.0,Der Alte,der_alte_fischer,MALE,
gdc,q41n.0,Stimmen,stimmen,UNKNOWN,
gdc,q41n.0,Zweiter Strolch,zweiter_strolch,MALE,
