corpus,drama,figure_surface,figure_id,Gender,Age
gdc,rhzq.0,Marthe,marthe,FEMALE,
gdc,rhzq.0,Jungfer Rehaar,jungfer_rehaar,FEMALE,
gdc,rhzq.0,Schöpsen,schoepsen,MALE,
gdc,rhzq.0,Rehaar,rehaar,MALE,
gdc,rhzq.0,Lise,lise,FEMALE,
gdc,rhzq.0,Majorin,majorin,FEMALE,
gdc,rhzq.0,Pätus,paetus,MALE,
gdc,rhzq.0,Läuffer,laeuffer,MALE,
gdc,rhzq.0,Fritz,fritz,MALE,
gdc,rhzq.0,Frau Blitzer,frau_blitzer,FEMALE,
gdc,rhzq.0,Hofmeister,hofmeister,MALE,
gdc,rhzq.0,Herr von Seiffenblase,seiffenblase,MALE,
gdc,rhzq.0,Jungfer Hamster,jungfer_hamster,FEMALE,
gdc,rhzq.0,Gustchen,gustchen,FEMALE,
gdc,rhzq.0,Jungfer Knicks,jungfer_knicks,FEMALE,
gdc,rhzq.0,Frau Hamster,frau_hamster,FEMALE,
gdc,rhzq.0,Bollwerk,bollwerk,MALE,
gdc,rhzq.0,Major,major,MALE,
gdc,rhzq.0,Geheimer Rat,geheimer_rat,MALE,
gdc,rhzq.0,Graf Wermuth,graf_wermuth,MALE,
gdc,rhzq.0,Wenzeslaus,wenzeslaus,MALE,
gdc,rhzq.0,Pastor,pastor,MALE,
gdc,rhzq.0,Bedienter,bedienter,MALE,
gdc,rhzq.0,Der alte Pätus,der_alte_paetus,MALE,
